cell,cycle,capacity_mah,capacity_retention_pct,rated_capacity_soh_pct,effective_resistance_ohm,resistance_soh_pct
Cell1,0,739.1109210621779,100.0,99.87985419759161,0.0465463528638962,100.0
Cell1,100,730.1929494056872,98.79341903869114,98.67472289266043,0.047242824613766006,98.52576183671526
Cell1,200,725.7467375962049,98.19185685326266,98.07388345894661,0.047100710523284295,98.82303758642016
Cell1,300,722.8431973239306,97.79901456267633,97.6815131518825,0.047885330140187865,97.20378397231111
Cell1,400,718.3668958430143,97.19338131422109,97.07660754635327,0.0478384422364364,97.29905634018309
Cell1,500,714.9787006955092,96.73496633874815,96.61874333723098,0.04816190960630609,96.64557166520996
Cell1,600,711.6204053941345,96.28059674337695,96.16491964785602,0.048586270397396256,95.80145272148862
Cell1,700,709.5321170323996,95.99805615275301,95.88271851789185,0.04932269703181097,94.37106173224032
Cell1,800,705.8480111354505,95.49960513654362,95.38486636965547,0.04930917752872311,94.3969362230438
Cell1,900,702.5449768529222,95.05271222934893,94.93851038553002,0.04979192068999372,93.48173803877833
Cell1,1000,699.4156477527364,94.62932123200191,94.5156280746941,0.05025323701296701,92.62359129599092
Cell1,1100,696.2835912151658,94.20556121867813,94.09237719123863,0.050294513309125016,92.5475758713649
Cell1,1200,693.2672854322545,93.79746201503269,93.68476830165602,0.05050228381671156,92.16682760888068
Cell1,1300,690.3687943593548,93.40530286945622,93.29308031883173,0.05069397784586808,91.81830829180049
Cell1,1400,687.6192406848993,93.03329460978877,92.92151901147288,0.05078903139993876,91.64646692583375
Cell1,1600,681.8263154580586,92.249525210398,92.13869127811603,0.0512628663804441,90.79935663069521
Cell1,1800,675.8871270316637,91.44596673802964,91.33609824752213,0.05195573137902229,89.58848548264264
Cell1,1900,672.743285643124,91.0206122615971,90.91125481663838,0.052454335774222476,88.73690263516858
Cell1,2000,669.7317983178508,90.61316498413767,90.50429706997983,0.05293520333805436,87.93080961008548
Cell1,2100,667.4184829442038,90.3001787586977,90.19168688435187,0.05306848765833269,87.70996671993458
Cell1,2200,663.9526202195469,89.83125553947697,89.72332705669554,0.05369595166005363,86.68503197145813
Cell1,2300,661.4396086354981,89.49125087814177,89.38373089668893,0.05389605940764151,86.36318383101816
Cell1,2400,658.2324497447104,89.05732968994194,88.95033104658249,0.05433561321448717,85.66453953534443
Cell1,2500,656.3019662937012,88.79613973915149,88.68945490455421,0.05471597583195304,85.0690354255074
Cell1,2600,652.7810452742547,88.31976725985074,88.21365476679117,0.055257264039896524,84.23571755251776
Cell1,2700,651.274269703515,88.11590400633877,88.01003644642094,0.055800892886266586,83.41506821184205
Cell1,2800,648.8501025188361,87.7879197869749,87.68244628632921,0.05599693309968392,83.12303957974964
Cell1,2900,645.0218397585212,87.26996468020779,87.16511348088125,0.05674628914660783,82.0253686432968
Cell1,3000,644.1689847636143,87.1545753698075,87.04986280589382,0.05668805662525221,82.10962879112299
Cell1,3100,642.0891597582703,86.8731798517498,86.76880537273924,0.05753742552733087,80.89752441528027
Cell1,3200,638.7729233128966,86.424500722424,86.3206653125536,0.05793062317853988,80.34844148049675
